H,NN,X,Diff
1,1,-1,-1.77636e-15
1,2,-1,-3.55271e-15
1,4,-1,-5.32907e-15
2,1,-1,7.35844
2,1,-2,3.42771
2,2,-1,8.31864
2,2,-2,2.78757
2,4,-1,8.87836
2,4,-2,2.41443
3,1,-1,8.63304
3,1,-2,6.82843
3,1,-3,3.75743
3,2,-1,9.21916
3,2,-2,7.57912
3,2,-3,2.80521
3,4,-1,9.52608
3,4,-2,8.15744
3,4,-3,2.1584
4,1,-1,9.32361
4,1,-2,8.4621
4,1,-3,7.27667
4,1,-4,5.24787
4,2,-1,9.60187
4,2,-2,8.91623
4,2,-3,7.66548
4,2,-4,4.43121
4,4,-1,9.7572
4,4,-2,9.23198
4,4,-3,8.04871
4,4,-4,3.78844
5,1,-1,9.53191
5,1,-2,8.94633
5,1,-3,8.20173
5,1,-4,7.17627
5,1,-5,5.42668
5,2,-1,9.72202
5,2,-2,9.28218
5,2,-3,8.60078
5,2,-4,7.43242
5,2,-5,4.55911
5,4,-1,9.83174
5,4,-2,9.50986
5,4,-3,8.92693
5,4,-4,7.74413
5,4,-5,3.81562
6,1,-1,9.69587
6,1,-2,9.31983
6,1,-3,8.86061
6,1,-4,8.27922
6,1,-5,7.48155
6,1,-6,6.12478
6,2,-1,9.81017
6,2,-2,9.52852
6,2,-3,9.13243
6,2,-4,8.55377
6,2,-5,7.60914
6,2,-6,5.39132
6,4,-1,9.88248
6,4,-2,9.67757
6,4,-3,9.35203
6,4,-4,8.81602
6,4,-5,7.81043
6,4,-6,4.69977
7,0.25,-1,9.49511
7,0.25,-2,9.07538
7,0.25,-3,8.71788
7,0.25,-4,8.41141
7,0.25,-5,8.15164
7,0.25,-6,7.94139
7,0.25,-7,7.79934
7,1,-1,9.7897
7,1,-2,9.53192
7,1,-3,9.22471
7,1,-4,8.85273
7,1,-5,8.38397
7,1,-6,7.74325
7,1,-7,6.65573
7,2,-1,9.86225
7,2,-2,9.66652
7,2,-3,9.40721
7,2,-4,9.05962
7,2,-5,8.56998
7,2,-6,7.7969
7,2,-7,6.04142
7,4,-1,9.91256
7,4,-2,9.76937
7,4,-3,9.55978
7,4,-4,9.25157
7,4,-5,8.7729
7,4,-6,7.92069
7,4,-7,5.41179
8,0.25,-1,9.72668
8,0.25,-2,9.45739
8,0.25,-3,9.18924
8,0.25,-4,8.92001
8,0.25,-5,8.64771
8,0.25,-6,8.37073
8,0.25,-7,8.08926
8,0.25,-8,7.81441
8,1,-1,9.84787
8,1,-2,9.66267
8,1,-3,9.44554
8,1,-4,9.18975
8,1,-5,8.88177
8,1,-6,8.49523
8,1,-7,7.96848
8,1,-8,7.07549
8,2,-1,9.89582
8,2,-2,9.75234
8,2,-3,9.56967
8,2,-4,9.3376
8,2,-5,9.03533
8,2,-6,8.62007
8,2,-7,7.97995
8,2,-8,6.5632
8,4,-1,9.93214
8,4,-2,9.82598
8,4,-3,9.67899
8,4,-4,9.47774
8,4,-5,9.19513
8,4,-6,8.77344
8,4,-7,8.05005
8,4,-8,5.99781
9,0.25,-1,9.78931
9,0.25,-2,9.57365
9,0.25,-3,9.35211
9,0.25,-4,9.12326
9,0.25,-5,8.88519
9,0.25,-6,8.63542
9,0.25,-7,8.37077
9,0.25,-8,8.08795
9,0.25,-9,7.79031
9,1,-1,9.87348
9,1,-2,9.72035
9,1,-3,9.5429
9,1,-4,9.33772
9,1,-5,9.09757
9,1,-6,8.80965
9,1,-7,8.44944
9,1,-8,7.95974
9,1,-9,7.12998
9,2,-1,9.91189
9,2,-2,9.79257
9,2,-3,9.6442
9,2,-4,9.46166
9,2,-5,9.23433
9,2,-6,8.94281
9,2,-7,8.54777
9,2,-8,7.94607
9,2,-9,6.62598
9,4,-1,9.9422
9,4,-2,9.85389
9,4,-3,9.73551
9,4,-4,9.58017
9,4,-5,9.37419
9,4,-6,9.09216
9,4,-7,8.68058
9,4,-8,7.98789
9,4,-9,6.04464
10,0.25,-1,9.85071
10,0.25,-2,9.69254
10,0.25,-3,9.52565
10,0.25,-4,9.34918
10,0.25,-5,9.16152
10,0.25,-6,8.9603
10,0.25,-7,8.74199
10,0.25,-8,8.50131
10,0.25,-9,8.23033
10,0.25,-10,7.92045
10,1,-1,9.90142
10,1,-2,9.78269
10,1,-3,9.64632
10,1,-4,9.49073
10,1,-5,9.31212
10,1,-6,9.10402
10,1,-7,8.85534
10,1,-8,8.54503
10,1,-9,8.12389
10,1,-10,7.41034
10,2,-1,9.92896
10,2,-2,9.83453
10,2,-3,9.71953
10,2,-4,9.58168
10,2,-5,9.41564
10,2,-6,9.21219
10,2,-7,8.95504
10,2,-8,8.61132
10,2,-9,8.09489
10,2,-10,6.9799
10,4,-1,9.95232
10,4,-2,9.88145
10,4,-3,9.78923
10,4,-4,9.67244
10,4,-5,9.52425
10,4,-6,9.33283
10,4,-7,9.07677
10,4,-8,8.71112
10,4,-9,8.10835
10,4,-10,6.4545
